,Attack_Index,Finesse_Factor
1,5.432010167518464,82.93215246877091
4,17.21498973357997,100.0
44,19.280040205752506,70.26515448567795
63,42.3753313086964,51.12827357629476
16,71.3749839708353,81.36715961564914
55,69.74699964764648,69.88515237277501
81,5.79340793034612,47.413304524833826
11,4.727526226230575,23.560277501763906
10,0.0,40.48404495672727
31,12.614713636434042,34.45461622971003
27,15.736969878273687,56.708494403657554
14,12.59687006636847,30.604325696288743
24,40.24620994356536,18.484007253631884
18,10.877880194339056,7.603184032257149
3,4.233044552939616,0.0
77,51.32568221491817,41.861304787676616
20,21.83997799045223,78.5294641403346
23,100.0,11.970128763448917
22,9.764750850745003,78.14311033931482
2,9.048005771155655,50.58180137033263
